Név,Google Maps Link,Szélességi fok,Hosszúsági fok,Weboldal,Telefon,Cím,E-mail,Összes E-mail
Encil’s Massage - Office HátReform,https://www.google.com/maps/place/Encil%E2%80%99s+Massage+-+Office+H%C3%A1tReform/data=!4m7!3m6!1s0x4741dd07ae821ed1:0x9df278297b491230!8m2!3d47.4797326!4d19.0772867!16s%2Fg%2F11h0cdg0vk!19sChIJ0R6CrgfdQUcRMBJJeyl48p0?authuser=0&hl=hu&rclk=1,47.4797326,19.0772867,https://www.facebook.com/Encils-Massage-Beauty-362117797671721/?ref=page_internal,06305180313,"Budapest, Balázs Béla u. 16/A, 1094",,
Emese Masszázs,https://www.google.com/maps/place/Emese+Massz%C3%A1zs/data=!4m7!3m6!1s0x4741dcf9a449efd9:0x501b34a5e4891dfb!8m2!3d47.4827564!4d19.0746287!16s%2Fg%2F11tczn81vx!19sChIJ2e9JpPncQUcR-x2J5KU0G1A?authuser=0&hl=hu&rclk=1,47.4827564,19.0746287,,,"Budapest, Tűzoltó u. 25, 1094",,
Art Of Body & Soul Massage,https://www.google.com/maps/place/Art+Of+Body+%26+Soul+Massage/data=!4m7!3m6!1s0x4741dc563b98dc19:0xceff7a4dd0d1e2e3!8m2!3d47.4825476!4d19.0683922!16s%2Fg%2F11fqptchhz!19sChIJGdyYO1bcQUcR4-LR0E16_84?authuser=0&hl=hu&rclk=1,47.4825476,19.0683922,,06308834635,"Budapest, Ferenc krt. 16, 1092",,
Vandi masszázs,https://www.google.com/maps/place/Vandi+massz%C3%A1zs/data=!4m7!3m6!1s0x4741dd5bddcb1207:0x556932346fed2682!8m2!3d47.4884093!4d19.0638914!16s%2Fg%2F11qm3rhpvr!19sChIJBxLL3VvdQUcRgibtbzQyaVU?authuser=0&hl=hu&rclk=1,47.4884093,19.0638914,http://www.vandimasszazs.hu/,06209426906,"Budapest, Üllői út 11-13, 1092",vandi@vandimasszazs.hu,vandi@vandimasszazs.hu
Millennium Wellness Fitness Club,https://www.google.com/maps/place/Millennium+Wellness+Fitness+Club/data=!4m7!3m6!1s0x4741dd022d6fcbf3:0x111711771553c5ed!8m2!3d47.4729243!4d19.0710443!16s%2Fg%2F1hhxvy1rb!19sChIJ88tvLQLdQUcR7cVTFXcRFxE?authuser=0&hl=hu&rclk=1,47.4729243,19.0710443,http://millenniumwellness.hu/,06305218800,"Budapest, Lechner Ödön fasor 8, 1095",info@millenniumwellness.hu,info@millenniumwellness.hu
"Masszázs Norbival - Masszázs, Tartásjavítás, Mozgásfejlesztés","https://www.google.com/maps/place/Massz%C3%A1zs+Norbival+-+Massz%C3%A1zs,+Tart%C3%A1sjav%C3%ADt%C3%A1s,+Mozg%C3%A1sfejleszt%C3%A9s/data=!4m7!3m6!1s0x4741ddeaa42abecd:0x3837528bbe4d3ad3!8m2!3d47.4760383!4d19.0748837!16s%2Fg%2F11llm80tq2!19sChIJzb4qpOrdQUcR0zpNvotSNzg?authuser=0&hl=hu&rclk=1",47.4760383,19.0748837,http://www.masszazsnorbival.salonic.hu/,06203247226,"Budapest, Haller u. 30, 1095",,
Alma Masszázs & Egészségcentrum,https://www.google.com/maps/place/Alma+Massz%C3%A1zs+%26+Eg%C3%A9szs%C3%A9gcentrum/data=!4m7!3m6!1s0x4741ddfda2434005:0xf52e0c3e5703ca3a!8m2!3d47.4805444!4d19.0750198!16s%2Fg%2F11f778frbv!19sChIJBUBDov3dQUcROsoDVz4MLvU?authuser=0&hl=hu&rclk=1,47.4805444,19.0750198,https://www.almaegeszsegcentrum.hu/,06303960669,"Budapest, Balázs Béla u. 5, 1094",,
"Nyirok, sport és wellness masszázs","https://www.google.com/maps/place/Nyirok,+sport+%C3%A9s+wellness+massz%C3%A1zs/data=!4m7!3m6!1s0x64f22d515bd6e997:0xe6c57e48698d7ae9!8m2!3d47.4838805!4d19.0702928!16s%2Fg%2F11sfq716dn!19sChIJl-nWW1Et8mQR6XqNaUh-xeY?authuser=0&hl=hu&rclk=1",47.4838805,19.0702928,https://papp-brigitta.salonic.hu/,06701656690,"Budapest, Angyal u. 36, 1094",,
Jóllét Masszázs Budapest - Dobó Tekla e.v.,https://www.google.com/maps/place/J%C3%B3ll%C3%A9t+Massz%C3%A1zs+Budapest+-+Dob%C3%B3+Tekla+e.v./data=!4m7!3m6!1s0x4741ddbbd5a5bb5f:0x32d4feb0d7163b8b!8m2!3d47.483014!4d19.06579!16s%2Fg%2F11rsctg7hj!19sChIJX7ul1bvdQUcRizsW17D-1DI?authuser=0&hl=hu&rclk=1,47.483014,19.06579,,,"Budapest, Bakáts u 8, 1093",,
Mandala Harmónia Központ - Masszázs Nőknek,https://www.google.com/maps/place/Mandala+Harm%C3%B3nia+K%C3%B6zpont+-+Massz%C3%A1zs+N%C5%91knek/data=!4m7!3m6!1s0x4741dd6f94f4812b:0x36b5db3949ae3ea3!8m2!3d47.4623595!4d19.1114905!16s%2Fg%2F11wwpxqk78!19sChIJK4H0lG_dQUcRoz6uSTnbtTY?authuser=0&hl=hu&rclk=1,47.4623595,19.1114905,http://www.mandalaharmoniakozpont.hu/,06302502529,"Budapest, Epreserdő u. 28/II, 1098",info@mandalaharmoniakozpont.hu,info@mandalaharmoniakozpont.hu
Dharmasszázs,https://www.google.com/maps/place/Dharmassz%C3%A1zs/data=!4m7!3m6!1s0x4741dd1178dedfff:0xd6e41b4528e56b87!8m2!3d47.482419!4d19.072823!16s%2Fg%2F11m6b5mrrj!19sChIJ_9_eeBHdQUcRh2vlKEUb5NY?authuser=0&hl=hu&rclk=1,47.482419,19.072823,https://www.facebook.com/share/16TgzBht3t/?mibextid=wwXIfr,06202870367,"Budapest, Páva u. 27-29, 1094",,
Meetang Professional Thai Massage,https://www.google.com/maps/place/Meetang+Professional+Thai+Massage/data=!4m7!3m6!1s0x4741dc423695bb43:0x85376895e661aea5!8m2!3d47.49577!4d19.0580299!16s%2Fg%2F11gdlz9w1b!19sChIJQ7uVNkLcQUcRpa5h5pVoN4U?authuser=0&hl=hu&rclk=1,47.49577,19.0580299,https://meetang.hu/,06204928099,"Budapest, Károly krt. 22-Doorbell 1, 1052",,
Aldea Stúdió,https://www.google.com/maps/place/Aldea+St%C3%BAdi%C3%B3/data=!4m7!3m6!1s0x4741dde085ad17f5:0xc9092caec931528c!8m2!3d47.482419!4d19.072823!16s%2Fg%2F11tj337pm2!19sChIJ9RetheDdQUcRjFIxya4sCck?authuser=0&hl=hu&rclk=1,47.482419,19.072823,http://aldea-studio.salonic.hu/,06303603596,"Budapest, Páva u. 27-29, 1094",,
Handmade Healing Masszázs,https://www.google.com/maps/place/Handmade+Healing+Massz%C3%A1zs/data=!4m7!3m6!1s0x4741dd8442d1f9f3:0xc0459b72c9c9b256!8m2!3d47.4856889!4d19.0641636!16s%2Fg%2F11rgg1m6by!19sChIJ8_nRQoTdQUcRVrLJyXKbRcA?authuser=0&hl=hu&rclk=1,47.4856889,19.0641636,http://www.handmadehealing.hu/,06303851448,"Budapest, Ráday u. 29, 1092",,
FDM TERÁPIA,https://www.google.com/maps/place/FDM+TER%C3%81PIA/data=!4m7!3m6!1s0x4741dd00af675ebf:0x7c9b063c78680462!8m2!3d47.4685515!4d19.1150459!16s%2Fg%2F11jgdf9dvm!19sChIJv15nrwDdQUcRYgRoeDwGm3w?authuser=0&hl=hu&rclk=1,47.4685515,19.1150459,http://www.pottyosmasszazs.hu/,06704525314,"Budapest, Üllői út 165, 1091",pottyosmasszazsstudio@gmail.com,pottyosmasszazsstudio@gmail.com
Nekem a Masszázs szalon - Kosztolányi Dezső tér,https://www.google.com/maps/place/Nekem+a+Massz%C3%A1zs+szalon+-+Kosztol%C3%A1nyi+Dezs%C5%91+t%C3%A9r/data=!4m7!3m6!1s0x4741ddfd07708c99:0x2f39599d5d2ddc6b!8m2!3d47.4747769!4d19.0374432!16s%2Fg%2F11wp56_v_d!19sChIJmYxwB_3dQUcRa9wtXZ1ZOS8?authuser=0&hl=hu&rclk=1,47.4747769,19.0374432,https://www.nekemamasszazs.hu/,06300904904,"Budapest, Ulászló u. 50, 1113",2062d0a4929b45348643784b5cb39c36@sentry.wixpress.com,"2062d0a4929b45348643784b5cb39c36@sentry.wixpress.com, 18d2f96d279149989b95faf0a4b41882@sentry-next.wixpress.com, hello@nekemamasszazs.hu, c183baa23371454f99f417f6616b724d@sentry.wixpress.com, 460ff4620fa44cba8df530afde949785@sentry.wixpress.com, a18507e8883842d8a1ba47257fee81ac@sentry.wixpress.com, 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com, 8c4075d5481d476e945486754f783364@sentry.io, 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com, ed436f5053144538958ad06a5005e99a@sentry.wixpress.com, xyz@xyz.com, f36cc48fb72b4d298c835f2793cf3b84@sentry-next.wixpress.com, 271e9fa3230b4eec94b02bf95780f5f2@sentry.wixpress.com, 79baaa8e09c746d2b7401643b99792e0@sentry.wixpress.com, 5d1795a2db124a268f1e1bd88f503500@sentry.wixpress.com, dd0a55ccb8124b9c9d938e3acf41f8aa@sentry.wixpress.com, 9a65e97ebe8141fca0c4fd686f70996b@sentry.wixpress.com"
Elixir alakformáló és masszázs stúdió,https://www.google.com/maps/place/Elixir+alakform%C3%A1l%C3%B3+%C3%A9s+massz%C3%A1zs+st%C3%BAdi%C3%B3/data=!4m7!3m6!1s0x4741dd4f75a924e7:0xf18cc070b0a65841!8m2!3d47.4782273!4d19.0701933!16s%2Fg%2F11kpq31z_0!19sChIJ5ySpdU_dQUcRQVimsHDAjPE?authuser=0&hl=hu&rclk=1,47.4782273,19.0701933,http://www.elixirstudiobudapest.hu/,06703868984,"Budapest, Ipar u. 2b, 1095",,
BeActive Masszázs Stúdió,https://www.google.com/maps/place/BeActive+Massz%C3%A1zs+St%C3%BAdi%C3%B3/data=!4m7!3m6!1s0x4741dddef507d8a5:0x142dd9c0b8a4eeb5!8m2!3d47.4792162!4d19.0815825!16s%2Fg%2F11pcmdhd0x!19sChIJpdgH9d7dQUcRte6kuMDZLRQ?authuser=0&hl=hu&rclk=1,47.4792162,19.0815825,https://beactivemasszazs.hu/,06202336026,"Budapest, Tűzoltó u. 71-75, 1094",info@beactivemasszazs.hu,info@beactivemasszazs.hu
Flow Head & Beauty Spa,https://www.google.com/maps/place/Flow+Head+%26+Beauty+Spa/data=!4m7!3m6!1s0x4741dd23cbea824f:0xfae2f69ba769be0e!8m2!3d47.4796225!4d19.0725155!16s%2Fg%2F11yfdfv_zp!19sChIJT4LqyyPdQUcRDr5pp5v24vo?authuser=0&hl=hu&rclk=1,47.4796225,19.0725155,https://flowheadspa.hu/,06703212207,"Budapest, Berzenczey u. 1, 1094",flowheadspa@gmail.com,flowheadspa@gmail.com
Tibor Masszazs,https://www.google.com/maps/place/Tibor+Masszazs/data=!4m7!3m6!1s0x4741ddefb2f356b9:0x7a7a77b6369e3e56!8m2!3d47.4824646!4d19.0642275!16s%2Fg%2F11htbcwt06!19sChIJuVbzsu_dQUcRVj6eNrZ3eno?authuser=0&hl=hu&rclk=1,47.4824646,19.0642275,,06304699865,"Budapest, Bakáts u 2, 1093",,
Urai Thai Masszázs,https://www.google.com/maps/place/Urai+Thai+Massz%C3%A1zs/data=!4m7!3m6!1s0x4741dc5c40ab2479:0x380f44d3d161bf7e!8m2!3d47.4928114!4d19.0674221!16s%2Fg%2F11ggzdpn47!19sChIJeSSrQFzcQUcRfr9h0dNEDzg?authuser=0&hl=hu&rclk=1,47.4928114,19.0674221,https://www.facebook.com/Uraithaimasszazs/,06309993393,"Budapest, Horánszky u. 1, Alagsor 1, 1085",,
Free Spirit Masszázs Kuckó,https://www.google.com/maps/place/Free+Spirit+Massz%C3%A1zs+Kuck%C3%B3/data=!4m7!3m6!1s0x4741c3fa26fb8c71:0x5e3f34a62e3f8a2a!8m2!3d47.4665244!4d19.1193119!16s%2Fg%2F11fs_vhktj!19sChIJcYz7JvrDQUcRKoo_LqY0P14?authuser=0&hl=hu&rclk=1,47.4665244,19.1193119,https://www.facebook.com/Free-Spirit-Massz%C3%A1zs-Kuck%C3%B3-105263944388663/,,"Budapest, Ifjúmunkás u. 32, 1091",,
Aloe Thai Massage Centre,https://www.google.com/maps/place/Aloe+Thai+Massage+Centre/data=!4m7!3m6!1s0x4741ddad72ef7509:0x9e0f7e691d1a9744!8m2!3d47.4766989!4d19.0522865!16s%2Fg%2F11cjp7tsjz!19sChIJCXXvcq3dQUcRRJcaHWl-D54?authuser=0&hl=hu&rclk=1,47.4766989,19.0522865,http://www.aloethaimasszazs.hu/,06302201111,"Budapest, Karinthy Frigyes út 24 (bejárat a Vak Bottyán utca felől, 1111",,
ÉletKözpont,https://www.google.com/maps/place/%C3%89letK%C3%B6zpont/data=!4m7!3m6!1s0x4741dcf89ea86ad7:0x615692af8316b67f!8m2!3d47.4807483!4d19.0716411!16s%2Fg%2F119wm43fh!19sChIJ12qonvjcQUcRf7YWg6-SVmE?authuser=0&hl=hu&rclk=1,47.4807483,19.0716411,http://www.eletkozpont.hu/,06202084733,"Budapest, Páva u. 6 II-emelet 5, 1094",,
hölgy varázs alakformáló stúdió,https://www.google.com/maps/place/h%C3%B6lgy+var%C3%A1zs+alakform%C3%A1l%C3%B3+st%C3%BAdi%C3%B3/data=!4m7!3m6!1s0x4741dd218290fd43:0xb4c845c5c735aa49!8m2!3d47.4708655!4d19.0850019!16s%2Fg%2F11lybvzv0l!19sChIJQ_2QgiHdQUcRSao1x8VFyLQ?authuser=0&hl=hu&rclk=1,47.4708655,19.0850019,https://holgyvarazs.hu/,06705644250,"Budapest, LURDY Bevásárló és Irodaközpont, Könyves Kálmán krt. 12-14-fszt. 242 üzlet, 1097",,
Sa-Bai Thai Massage,https://www.google.com/maps/place/Sa-Bai+Thai+Massage/data=!4m7!3m6!1s0x4741ddb2caba2f3f:0x4757f93c376f05ad!8m2!3d47.478831!4d19.050251!16s%2Fg%2F11bx9sqdg8!19sChIJPy-6yrLdQUcRrQVvNzz5V0c?authuser=0&hl=hu&rclk=1,47.478831,19.050251,,06309693333,"Budapest, Bartók Béla út 42, 1111",,
Anattá Thai Massage - Only Quality,https://www.google.com/maps/place/Anatt%C3%A1+Thai+Massage+-+Only+Quality/data=!4m7!3m6!1s0x4741ddc562a7a125:0x626ce0bce7085864!8m2!3d47.5149035!4d19.0556795!16s%2Fg%2F11rs2flj1x!19sChIJJaGnYsXdQUcRZFgI57zgbGI?authuser=0&hl=hu&rclk=1,47.5149035,19.0556795,https://sites.google.com/view/anattathaimassage/home,06202764719,"Budapest, Visegrádi u. 26/b, 1132",anatta.kft@gmail.com,anatta.kft@gmail.com
Saeng Tian Thai Masszázs | Béke utca,https://www.google.com/maps/place/Saeng+Tian+Thai+Massz%C3%A1zs+%7C+B%C3%A9ke+utca/data=!4m7!3m6!1s0x4741dbbc1004a849:0xe3eba5bff30dacd7!8m2!3d47.5427401!4d19.0866139!16s%2Fg%2F11h6npzx9q!19sChIJSagEELzbQUcR16wN87-l6-M?authuser=0&hl=hu&rclk=1,47.5427401,19.0866139,https://thaimasszazs-angyalfold.hu/,06704337982,"Budapest, Béke u. 120, 1131",info@saengtian.hu,info@saengtian.hu
Eden Massage,https://www.google.com/maps/place/Eden+Massage/data=!4m7!3m6!1s0x4741dbc4e9eab4ed:0xa849998ea3c0f8b2!8m2!3d47.5294508!4d19.071234!16s%2Fg%2F11krzwzk7k!19sChIJ7bTq6cTbQUcRsvjAo46ZSag?authuser=0&hl=hu&rclk=1,47.5294508,19.071234,https://edenmassage.eu/,06300912426,"Budapest, Róbert Károly körút, 1138",info@edenmassage.eu,info@edenmassage.eu
Absolute Thai Thai Massage Budapest,https://www.google.com/maps/place/Absolute+Thai+Thai+Massage+Budapest/data=!4m7!3m6!1s0x4741dd270530c951:0x6b129cd85f5facc0!8m2!3d47.511778!4d19.0528648!16s%2Fg%2F11jj2pm0lj!19sChIJUckwBSfdQUcRwKxfX9icEms?authuser=0&hl=hu&rclk=1,47.511778,19.0528648,https://www.absolutethaithai.com/,06307769191,"Budapest, Szent István krt. 20, 1137",thaithaimassagehu@gmail.com,thaithaimassagehu@gmail.com
Lindom Massage,https://www.google.com/maps/place/Lindom+Massage/data=!4m7!3m6!1s0x4741dbd997e191bb:0xc520f1618a816ea5!8m2!3d47.5464886!4d19.0656821!16s%2Fg%2F11wpplzp6j!19sChIJu5Hhl9nbQUcRpW6BimHxIMU?authuser=0&hl=hu&rclk=1,47.5464886,19.0656821,https://lindommassage.hu/,,"Budapest, Danubius u. 3, 1138",%20info@lindom.hu,"%20info@lindom.hu, info@lindom.hu"
Thai Diamond Massage,https://www.google.com/maps/place/Thai+Diamond+Massage/data=!4m7!3m6!1s0x476a407af76d205b:0xfcb3239cfe8d63ec!8m2!3d47.5199726!4d19.0527241!16s%2Fg%2F11b7g324lg!19sChIJWyBt93pAakcR7GON_pwjs_w?authuser=0&hl=hu&rclk=1,47.5199726,19.0527241,http://www.thaidiamond.hu/,06707757447,"Budapest, Pozsonyi út 61-63, 1133",,
Flame Mobile Massage,https://www.google.com/maps/place/Flame+Mobile+Massage/data=!4m7!3m6!1s0x4741db11c71b5da7:0x59fe4dc239e86c92!8m2!3d47.5509323!4d19.0746485!16s%2Fg%2F11vhfphygz!19sChIJp10bxxHbQUcRkmzoOcJN_lk?authuser=0&hl=hu&rclk=1,47.5509323,19.0746485,https://www.facebook.com/profile.php?id=61552731601012,06206242171,"Budapest, Váci út 163, 1138",,
"Masszázs 13. kerület - Profi masszőr stúdió Árpád híd, Angyalföld","https://www.google.com/maps/place/Massz%C3%A1zs+13.+ker%C3%BClet+-+Profi+massz%C5%91r+st%C3%BAdi%C3%B3+%C3%81rp%C3%A1d+h%C3%ADd,+Angyalf%C3%B6ld/data=!4m7!3m6!1s0x4741db9098936aa3:0x9d233cc9bfacfc9b!8m2!3d47.5308883!4d19.0643038!16s%2Fg%2F11h84zztgl!19sChIJo2qTmJDbQUcRm_ysv8k8I50?authuser=0&hl=hu&rclk=1",47.5308883,19.0643038,https://masszazs13.hu/,06203265598,"Budapest, Zsilip u. 8, 1133",hello@masszazs13.hu,hello@masszazs13.hu
Léleküdítő masszázs,https://www.google.com/maps/place/L%C3%A9lek%C3%BCd%C3%ADt%C5%91+massz%C3%A1zs/data=!4m7!3m6!1s0x4741dbdd49904141:0x7dfe10e1ef2ff43d!8m2!3d47.5219636!4d19.0612329!16s%2Fg%2F11lky2jn6b!19sChIJQUGQSd3bQUcRPfQv7-EQ_n0?authuser=0&hl=hu&rclk=1,47.5219636,19.0612329,,06703031374,"Budapest, Bessenyei u. 24, 1133",,
Tui Professional Thai Massage - 13. kerület Thai masszázs,https://www.google.com/maps/place/Tui+Professional+Thai+Massage+-+13.+ker%C3%BClet+Thai+massz%C3%A1zs/data=!4m7!3m6!1s0x4741db80aee00477:0xbbb69978c2d899e4!8m2!3d47.5255172!4d19.0704709!16s%2Fg%2F11h_4sf9rh!19sChIJdwTgroDbQUcR5JnYwniZtrs?authuser=0&hl=hu&rclk=1,47.5255172,19.0704709,https://tuimassage.hu/,06302259411,"Budapest, Klapka u. 17, 1134",,
Nekem a Masszázs szalon - Béke tér,https://www.google.com/maps/place/Nekem+a+Massz%C3%A1zs+szalon+-+B%C3%A9ke+t%C3%A9r/data=!4m7!3m6!1s0x4741db254b5f0359:0x986ae9996c57ade6!8m2!3d47.5299938!4d19.0795382!16s%2Fg%2F11mb0nnd0g!19sChIJWQNfSyXbQUcR5q1XbJnpapg?authuser=0&hl=hu&rclk=1,47.5299938,19.0795382,http://www.nekemamasszazs.hu/,06205963129,"Budapest, Béke tér 10-11, 1139",2062d0a4929b45348643784b5cb39c36@sentry.wixpress.com,"2062d0a4929b45348643784b5cb39c36@sentry.wixpress.com, 18d2f96d279149989b95faf0a4b41882@sentry-next.wixpress.com, hello@nekemamasszazs.hu, c183baa23371454f99f417f6616b724d@sentry.wixpress.com, 460ff4620fa44cba8df530afde949785@sentry.wixpress.com, a18507e8883842d8a1ba47257fee81ac@sentry.wixpress.com, 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com, 8c4075d5481d476e945486754f783364@sentry.io, 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com, ed436f5053144538958ad06a5005e99a@sentry.wixpress.com, xyz@xyz.com, f36cc48fb72b4d298c835f2793cf3b84@sentry-next.wixpress.com, 271e9fa3230b4eec94b02bf95780f5f2@sentry.wixpress.com, 79baaa8e09c746d2b7401643b99792e0@sentry.wixpress.com, 5d1795a2db124a268f1e1bd88f503500@sentry.wixpress.com, dd0a55ccb8124b9c9d938e3acf41f8aa@sentry.wixpress.com, 9a65e97ebe8141fca0c4fd686f70996b@sentry.wixpress.com"
Krisztina Masszázs - Massage,https://www.google.com/maps/place/Krisztina+Massz%C3%A1zs+-+Massage/data=!4m7!3m6!1s0x4741dbb48a627243:0x99e7d428aba792d8!8m2!3d47.5183789!4d19.0640357!16s%2Fg%2F11m395_r1d!19sChIJQ3JiirTbQUcR2JKnqyjU55k?authuser=0&hl=hu&rclk=1,47.5183789,19.0640357,http://www.krisztinamasszazs.hu/,06205755386,"Budapest, Lehel u 4b, 1134",,
Visnu masszázs,https://www.google.com/maps/place/Visnu+massz%C3%A1zs/data=!4m7!3m6!1s0x4741db48335f27f5:0x401500da9c178d4!8m2!3d47.5214623!4d19.0679549!16s%2Fg%2F11wwvf2p9n!19sChIJ9SdfM0jbQUcR1HjBqQ1QAQQ?authuser=0&hl=hu&rclk=1,47.5214623,19.0679549,https://www.visnumasszazs.hu/,06202212424,"Budapest, Dózsa György út 140, 1134",,
Massage by Fanni,https://www.google.com/maps/place/Massage+by+Fanni/data=!4m7!3m6!1s0x4741ddd7fe4827f5:0xcf03c1067867237b!8m2!3d47.5210951!4d19.0578596!16s%2Fg%2F11y89dx4nd!19sChIJ9SdI_tfdQUcReyNneAbBA88?authuser=0&hl=hu&rclk=1,47.5210951,19.0578596,https://www.instagram.com/massage.by.fanni/,,"Budapest, Hegedűs Gyula u. 68, 1133",,
Mandala Day Spa Budapest,https://www.google.com/maps/place/Mandala+Day+Spa+Budapest/data=!4m7!3m6!1s0x4741dbf64a915409:0x155d62d0cd2ae052!8m2!3d47.520282!4d19.0549403!16s%2Fg%2F1tf80clq!19sChIJCVSRSvbbQUcRUuAqzdBiXRU?authuser=0&hl=hu&rclk=1,47.520282,19.0549403,http://www.mandaladayspa.hu/,0614910078,"Budapest, Ipoly u. 8, 1133",reservation@mandaladayspa.hu,reservation@mandaladayspa.hu
Zafír masszázs,https://www.google.com/maps/place/Zaf%C3%ADr+massz%C3%A1zs/data=!4m7!3m6!1s0x4741dc091fd97945:0x99f9fc5e265d1710!8m2!3d47.5156464!4d19.0517848!16s%2Fg%2F11g70jrh4s!19sChIJRXnZHwncQUcREBddJl78-Zk?authuser=0&hl=hu&rclk=1,47.5156464,19.0517848,,06305393096,"Budapest, Radnóti Miklós u. 27, 1137",,
Krisztina Massage Salon,https://www.google.com/maps/place/Krisztina+Massage+Salon/data=!4m7!3m6!1s0x4741dc0a37eb3207:0x2de4206ff6def0b0!8m2!3d47.5163743!4d19.057819!16s%2Fg%2F11bymz048j!19sChIJBzLrNwrcQUcRsPDe9m8g5C0?authuser=0&hl=hu&rclk=1,47.5163743,19.057819,http://krisztinamasszazs.hu/,06204105686,"Budapest, Csanády u. 5, 1132",,
"Áthangoló Masszázs, Budapest XIII. kerület","https://www.google.com/maps/place/%C3%81thangol%C3%B3+Massz%C3%A1zs,+Budapest+XIII.+ker%C3%BClet/data=!4m7!3m6!1s0x4741db54e5cb05a9:0xf101d82c9ea36580!8m2!3d47.5343692!4d19.0842575!16s%2Fg%2F11y2r6rf7f!19sChIJqQXL5VTbQUcRgGWjnizYAfE?authuser=0&hl=hu&rclk=1",47.5343692,19.0842575,https://athangolomasszazs.salonic.hu/,06305744045,"Budapest, Párta köz 6-I. emelet 112, 1135",athangolo.masszazs@gmail.com,athangolo.masszazs@gmail.com
Ben Vitality massage 'Bence' masszázs XIII. kerület,https://www.google.com/maps/place/Ben+Vitality+massage+%27Bence%27+massz%C3%A1zs+XIII.+ker%C3%BClet/data=!4m7!3m6!1s0x4741ddefbf566ac7:0xad49acad98b91756!8m2!3d47.5128529!4d19.0509286!16s%2Fg%2F11z7btgbxm!19sChIJx2pWv-_dQUcRVhe5mK2sSa0?authuser=0&hl=hu&rclk=1,47.5128529,19.0509286,https://www.facebook.com/benvitalitymassage,06308923566,"Budapest, Pannónia u. 4, 1136",,
Adrienn Gyógymasszőr Budapest,https://www.google.com/maps/place/Adrienn+Gy%C3%B3gymassz%C5%91r+Budapest/data=!4m7!3m6!1s0x4741dbca6b8a0149:0x9a9b52e125b5163e!8m2!3d47.5205919!4d19.053397!16s%2Fg%2F11twwhv89s!19sChIJSQGKa8rbQUcRPha1JeFSm5o?authuser=0&hl=hu&rclk=1,47.5205919,19.053397,,,"Budapest, Ipoly u. 4, 1133",,
Thai heart Thai Masszázs,https://www.google.com/maps/place/Thai+heart+Thai+Massz%C3%A1zs/data=!4m7!3m6!1s0x27f028907c831f51:0x6f89d88f99763c29!8m2!3d47.511669!4d19.0646746!16s%2Fg%2F11sd236v4z!19sChIJUR-DfJAo8CcRKTx2mY_YiW8?authuser=0&hl=hu&rclk=1,47.511669,19.0646746,http://thaiheart.hu/,06204131123,"Budapest, Szív u. 58, 1063",thaiheartmasszazs@gmail.com,"thaiheartmasszazs@gmail.com, info@thaiheart.hu"
Helia Fitness Center,https://www.google.com/maps/place/Helia+Fitness+Center/data=!4m7!3m6!1s0x4741dbf091cf44fd:0xf841bd9452710a7d!8m2!3d47.5252014!4d19.0556752!16s%2Fg%2F11g8xk483h!19sChIJ_UTPkfDbQUcRfQpxUpS9Qfg?authuser=0&hl=hu&rclk=1,47.5252014,19.0556752,http://www.premierfitness.hu/hu/klubkereso/danubius_health_spa_resort_helia,0618895820,"Budapest, Kárpát u. 62-64, 1133",spa.helia@danubiushotels.com,"spa.helia@danubiushotels.com, arena.reservation@danubiushotels.com"
Masszázs Barlang,https://www.google.com/maps/place/Massz%C3%A1zs+Barlang/data=!4m7!3m6!1s0x4741dd3ec841fa51:0x200a3752a73d6bee!8m2!3d47.515057!4d19.0546842!16s%2Fg%2F11v13dvwcc!19sChIJUfpByD7dQUcR7ms9p1I3CiA?authuser=0&hl=hu&rclk=1,47.515057,19.0546842,http://www.masszazsbarlang.hu/,06304839003,"Budapest, Hegedűs Gyula u. 27/a, 1136",masszazsbarlang1@gmail.com,masszazsbarlang1@gmail.com
Ayurmantra Ayurvedikus Egészségközpont / Ayurvedic Health Center,https://www.google.com/maps/place/Ayurmantra+Ayurvedikus+Eg%C3%A9szs%C3%A9gk%C3%B6zpont+%2F+Ayurvedic+Health+Center/data=!4m7!3m6!1s0x4741dde772945a61:0x3bbc1d4444d41ad7!8m2!3d47.5141284!4d19.0568979!16s%2Fg%2F11tspncwpb!19sChIJYVqUcufdQUcR1xrUREQdvDs?authuser=0&hl=hu&rclk=1,47.5141284,19.0568979,https://ayurmantracare.com/,06204284265,"Budapest, Kresz Géza u 25, 1132",ayurmantrahungary@gmail.com,ayurmantrahungary@gmail.com
Park Masszázs Stúdió,https://www.google.com/maps/place/Park+Massz%C3%A1zs+St%C3%BAdi%C3%B3/data=!4m7!3m6!1s0x4741ddde1b332a09:0x4daa4681a7921c99!8m2!3d47.5168119!4d19.0495437!16s%2Fg%2F11jdz0k2rm!19sChIJCSozG97dQUcRmRySp4FGqk0?authuser=0&hl=hu&rclk=1,47.5168119,19.0495437,https://www.facebook.com/profile.php?id=100057382002524,06208493639,"Budapest, Szent István park 2, 1137",,
